**Domination** has quite a lot of params a logged in admin can change. If a database is used those params can also be changed in the dom_params2 database table (_using a database always overrides changes an admin may have made_). Or if someone wants to modify the mission they can also be changed in description.ext inside the mission root folder (again, if a database is used the database params values will override description.ext values).

***

Param                           | Title                                                                                       | Default | Value: Description
------------------------------- | ------------------------------------------------------------------------------------------- | ------- | ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
d_MainTargets_num               | Main Targets                                                                                | `9998`  | `9998`: Complete, ordered <br /> `9999`: Order like placed in the editor <br /> `2`: 2 <br /> `4`: 4 <br /> `6`: 6 <br /> `8`: 8 <br /> `10`: 10 <br /> `12`: 12 <br /> `14`: 14 <br /> `16`: 16 <br /> `18`: 18 <br /> `20`: 20 <br /> `25`: 25 <br /> `34`: 34
d_TimeOfDay                     | Time of day:                                                                                | `5`     | `0`: 00:00 <br /> `1`: 01:00 <br /> `2`: 02:00 <br /> `3`: 03:00 <br /> `4`: 04:00 <br /> `5`: 05:00 <br /> `6`: 06:00 <br /> `7`: 07:00 <br /> `8`: 08:00 <br /> `9`: 09:00 <br /> `10`: 10:00 <br /> `11`: 11:00 <br /> `12`: 12:00 <br /> `13`: 13:00 <br /> `14`: 14:00 <br /> `15`: 15:00 <br /> `16`: 16:00 <br /> `17`: 17:00 <br /> `18`: 18:00 <br /> `19`: 19:00 <br /> `20`: 20:00 <br /> `21`: 21:00 <br /> `22`: 22:00 <br /> `23`: 23:00
d_enablefatigue                 | Disable fatigue:                                                                            | `0`     | `0`: Yes <br /> `1`: No
d_enablesway                    | Disable sway:                                                                               | `0`     | `0`: Yes <br /> `1`: No
d_with_suppress                 | Player can be suppressed                                                                    | `0`     | `0`: Yes <br /> `1`: No
d_with_targetselect_count       | Players can select from available targets:                                                  | `4`     | `0`: Off <br /> `4`: 4 <br /> `8`: 8 <br /> `12`: 12 <br /> `9999`: Entire map
d_targetselect_time             | Target selection time:                                                                      | `30`    | `30`: 30 <br /> `45`: 45 <br /> `60`: 60 <br /> `120`: 120 <br /> `240`: 240 <br /> `300`: 300
d_MissionType                   | Mission Type:                                                                               | `0`     | `0`: Main Targets and Side Missions (Default) <br /> `1`: Main Targets Only <br /> `2`: Side Missions Only
d_respawnatsql                  | Respawn at Squad Leader:                                                                    | `0`     | `0`: Squad Leader <br /> `2`: Squad <br /> `1`: None
d_retakefarps                   | Retake Farps                                                                                | `0`     | `0`: Yes <br /> `1`: No
d_with_MainTargetEvents         | Random events at main target:                                                               | `0`     | `0`: Never <br /> `1`: Low <br /> `2`: Medium <br /> `-1`: Always <br /> `-2`: Always, multiple events <br /> `-3`: Always, multiple events with guerrillas and defense <br /> `-4`: All
d_with_ranked                   | Ranked:                                                                                     | `1`     | `0`: Yes <br /> `1`: No <br /> `2`: Ranked mode on but weapons not ranked
d_transf_allow                  | Allow transfer of points to other players in ranked mode:                                   | `0`     | `0`: Yes <br /> `1`: No
d_sm_dorandom                   | Random side missions:                                                                       | `0`     | `0`: Yes <br /> `1`: No
